"Sample Name"	"Factor Value[Run order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch run order]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"2033076"	"45"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_090"	"VT_140528_090.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2036382"	"46"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_092"	"VT_140528_092.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2036382"	"47"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_094"	"VT_140528_094.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2036382"	"48"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_096"	"VT_140528_096.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2042755"	"49"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_098"	"VT_140528_098.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2042755"	"50"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_100"	"VT_140528_100.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2042755"	"51"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_102"	"VT_140528_102.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2043806"	"52"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_104"	"VT_140528_104.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2043806"	"53"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_106"	"VT_140528_106.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2043806"	"54"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_108"	"VT_140528_108.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005636"	"55"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_110"	"VT_140528_110.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005636"	"56"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_112"	"VT_140528_112.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2005636"	"57"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_114"	"VT_140528_114.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999440"	"58"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_116"	"VT_140528_116.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999440"	"59"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_118"	"VT_140528_118.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1999440"	"60"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_120"	"VT_140528_120.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998648"	"61"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_122"	"VT_140528_122.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998648"	"62"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_124"	"VT_140528_124.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998648"	"63"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_126"	"VT_140528_126.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993041"	"64"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_128"	"VT_140528_128.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993041"	"65"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_130"	"VT_140528_130.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993041"	"66"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_132"	"VT_140528_132.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991821"	"67"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_134"	"VT_140528_134.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991821"	"68"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_136"	"VT_140528_136.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991821"	"69"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_138"	"VT_140528_138.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182541"	"70"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_140"	"VT_140528_140.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182541"	"71"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_142"	"VT_140528_142.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182541"	"72"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_144"	"VT_140528_144.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"73"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_146"	"VT_140528_146.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"74"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_148"	"VT_140528_148.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"75"	""	""	"1"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140528_150"	"VT_140528_150.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"76"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_002"	"VT_140529_002.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"77"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_004"	"VT_140529_004.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"QSTD"	"78"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_006"	"VT_140529_006.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182542"	"79"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_008"	"VT_140529_008.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182542"	"80"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_010"	"VT_140529_010.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"2182542"	"81"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_012"	"VT_140529_012.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991826"	"82"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_014"	"VT_140529_014.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991826"	"83"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_016"	"VT_140529_016.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1991826"	"84"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_018"	"VT_140529_018.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993046"	"85"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_020"	"VT_140529_020.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993046"	"86"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_022"	"VT_140529_022.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1993046"	"87"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_024"	"VT_140529_024.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
"1998658"	"88"	""	""	"2"	""	""	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 HPLC system"	""	""	"TARGA C18 (5 µm, 2.1 mm x 100 mm; Higgins Analytical)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"negative"	"85-1275"	"Thermo Scientific Q Exactive"	""	""	"electrospray ionization"	"MS"	""	"orbitrap"	"MS"	""	"VT_140529_026"	"VT_140529_026.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_neg_mahpic_04_metabolite_profiling_mass_spectrometry_maf.tsv"
